,flagname,mean_AltMSL,std_AltMSL,mean_IAS,std_IAS,mean_Pitch,std_Pitch,mean_Roll,std_Roll,mean_HDG,std_HDG,mean_HCDI,std_HCDI,mean_VCDI,std_VCDI,mean_Power,std_Power,mean_nostd_AltMSL,std_nostd_AltMSL,mean_nostd_IAS,std_nostd_IAS,mean_nostd_Pitch,std_nostd_Pitch,mean_nostd_Roll,std_nostd_Roll,mean_nostd_HDG,std_nostd_HDG,mean_nostd_HCDI,std_nostd_HCDI,mean_nostd_VCDI,std_nostd_VCDI,mean_nostd_Power,std_nostd_Power
0,1,-0.26533484067982716,1.012502049807212,-0.45712214737489726,0.6090401710192458,0.048151201970799175,0.7821834524005112,-0.43143086621254934,0.5105455710914701,-0.019605938572349702,0.7567247597450815,0.0,0.0,0.0,0.0,-0.11374275717445644,1.0125033564302421,4.584166666666632,4.647127889250272,0.43641666666666673,0.3266401299745701,1.6928333333333332,0.5855603985859673,1.2227499999999998,0.8520543266894736,0.8141666666666689,0.45675064144386324,-4242.0,0.0,-4242.0,0.0,0.6169166666666667,0.029769304402250292
1,2,-0.23192704171157347,0.6498916047851534,0.4675443089526688,1.255195782295435,-0.06973192305103583,0.7329013270773329,-0.46238920655947807,0.5199843848063495,-0.2681194679741793,0.6787950338804929,0.0,0.0,0.0,0.0,-0.13641719486031395,1.1761855184367778,4.73750000000003,2.982837814660975,0.9323333333333339,0.6731859949178246,1.6045833333333335,0.5486666738992073,1.1710833333333333,0.867806852066171,0.6641666666666666,0.4097131263925704,-4242.0,0.0,-4242.0,0.0,0.6162499999999999,0.03458183571391979
2,3,-0.4076811145444862,0.7261613855206054,-0.2795227927147708,0.6138922664357025,0.010303928592684067,0.7723501406093172,-0.4552488151568801,0.5709783439009665,-0.3702861411727066,0.6663343530195661,0.0,0.0,0.0,0.0,-0.10665699539762556,1.044748002654405,3.930833333333362,3.3328967851393156,0.5316666666666673,0.3292424034417341,1.6645,0.5781989567730518,1.183,0.9529111521362031,0.6025000000000006,0.40219199813191603,-4242.0,0.0,-4242.0,0.0,0.617125,0.030717351322483988
3,4,-0.2744130469211966,0.7000991367914028,0.09183543793938348,1.2439402626095648,-0.006616028917532124,0.6821472015073147,-0.39318233604198904,0.540929765443413,-0.3785699254861026,0.685108729418358,0.0,0.0,0.0,0.0,-0.271046668620096,1.0811537053343465,4.542499999999965,3.2132776663937133,0.7308333333333331,0.6671494400433388,1.651833333333333,0.5106709762052033,1.2865833333333332,0.9027627956811836,0.5974999999999995,0.41352400273785156,-4242.0,0.0,-4242.0,0.0,0.6122916666666666,0.031787740312480064
4,5,-0.3301532332431931,0.797955287771356,-0.12662886009398225,0.9224952014039425,-0.08052952751479218,0.7938125820844119,-0.5194624049732517,0.5671972228679165,-0.4172275856152733,0.633699907449371,0.0,0.0,0.0,0.0,0.11583592439485567,0.9355435481160046,4.286666666666687,3.6624126073454026,0.6136666666666662,0.49475218027610046,1.5964999999999998,0.5942662306922517,1.0758333333333332,0.9466008035241112,0.5741666666666674,0.3824942100585182,-4242.0,0.0,-4242.0,0.0,0.6236666666666667,0.027506556386754488
5,6,-0.1741896500164651,0.7488446582967008,-0.4456240264257722,0.6340126435284266,0.004849468605838073,0.7356407631185481,-0.4195468581438896,0.585959171546989,0.05909001240489413,0.8282902519111595,0.0,0.0,0.0,0.0,-0.09106831948859825,0.904170118548769,5.002500000000024,3.43700726033029,0.44258333333333366,0.34003335435340576,1.6604166666666667,0.5507174782920536,1.2425833333333334,0.9779127969176751,0.8616666666666684,0.4999467758786785,-4242.0,0.0,-4242.0,0.0,0.6175833333333334,0.0265841247039377
6,7,-0.18290472800818505,0.7412987450107349,-0.14247762140223397,0.8820635786828307,-0.026318874176139095,0.7660548565695926,-0.46069149112109814,0.5178683467247517,-0.015464046415654005,0.7676308466422155,0.0,0.0,0.0,0.0,0.07473850608923821,0.8213596941915878,4.9625,3.4023734301195234,0.6051666666666667,0.47306791193201875,1.6370833333333332,0.5734861633481846,1.1739166666666667,0.8642753761217011,0.8166666666666681,0.4633334340930513,-4242.0,0.0,-4242.0,0.0,0.6224583333333332,0.02414935872048459
7,8,-0.3617453909631631,0.7661967743120259,-0.10782787854203578,0.7034639312949578,0.005517361665451847,0.7452165889575136,-0.4446131272634997,0.5698181393126803,0.002484152930030407,0.69927104524011,0.0,0.0,0.0,0.0,0.09457863906436391,0.619382900114673,4.141666666666667,3.5166490766482696,0.6237499999999994,0.37728143542003895,1.6609166666666666,0.5578861602398063,1.20075,0.9509748757384258,0.8274999999999996,0.4220722189189831,-4242.0,0.0,-4242.0,0.0,0.6230416666666667,0.018210900712537677
8,9,-0.2379186578308842,0.7868826447598507,-0.28729179335607136,0.8897515081626667,-0.00806313054669533,0.7299190411574497,-0.4061648658648946,0.6296617203154533,-0.1535271183055587,0.7350900538724919,0.0,0.0,0.0,0.0,-0.24978938328960423,0.4986519248288278,4.709999999999998,3.611591981198249,0.5275000000000004,0.4771910985525769,1.6507499999999997,0.546434066540173,1.2649166666666667,1.0508483934128534,0.7333333333333338,0.44369217380751486,-4242.0,0.0,-4242.0,0.0,0.6129166666666669,0.014661206648572869
9,10,-0.23138234933710086,0.7164533736279076,0.019117591936812943,0.7537842403107782,0.07019167293805444,0.7605335274900196,-0.43572508761551043,0.5874768208996956,-0.23084243856390715,0.7399688853281652,0.0,0.0,0.0,0.0,-0.519048330809168,2.2297561364112263e-16,4.739999999999986,3.28833947009554,0.6918333333333334,0.40426919921529225,1.7093333333333334,0.569352770284656,1.2155833333333335,0.9804456162595543,0.6866666666666655,0.446636982165082,-4242.0,0.0,-4242.0,0.0,0.6050000000000002,2.2297561364112263e-16
